analysis	table_id	mode	depth	positive_samples	negative_samples	top_label	n_cases	n_controls	or	ci_low	ci_high	p_value	q_value	bayes_or	bayes_lo	bayes_hi
cd_location	S13B	AGP transfer	2	129	77	Bacteroides ovatus__Bacteroides dorei	11	0	Inf	1.57569507856306	Inf	0.00764942000492187	0.29731318348162	32.4621179937485	2.58942633480384	15242.8686445572
cd_location	S13B	AGP transfer	3	124	76	Bifidobacterium breve__Bacteroides dorei	13	1	8.72241637299987	1.25959617722008	377.546995101143	0.0190726392372836	0.568794517474664	7.49189259638179	1.61026808770552	87.1746102843288
cd_location	S13B	AGP transfer	4	122	75	Bifidobacterium breve__Bacteroides dorei	13	1	8.76288909853923	1.26468428576697	379.410204196474	0.0190194651063702	0.574009558936792	7.72817950859152	1.63208597439451	94.5469728131922
cd_calprotectin	S13C	Rebuilt	1	103	99	Bacteroides dorei	83	70	1.71461933402225	0.853364890746493	3.50020305837103	0.139054786452148	0.139054786452149	1.71612588594099	0.895720509018928	3.32839848434422
cd_calprotectin	S13C	Rebuilt	2	103	99	Bacteroides dorei__Bacteroides uniformis	21	9	2.54939679247557	1.04718673443794	6.7020941914274	0.029346669935509	0.176080019613054	2.55230376491294	1.14585404479836	6.15098757386469
cd_calprotectin	S13C	Rebuilt	3	103	99	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	2	12	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0439870169772572	0.154276495844685	0.028446568905001	0.55663289088873
cd_calprotectin	S13C	Rebuilt	4	103	99	Segatella sp.__Faecalibacterium prausnitzii__Escherichia-Shigella coli	2	12	0.144747514575504	0.0153099574076411	0.676922844245697	0.00488744633080635	0.0537619096388699	0.152524841953191	0.0256874224897107	0.5686965037747
cd_calprotectin	S13C	AGP transfer	1	103	99	Bacteroides fragilis	3	11	0.241553141797815	0.0419406260135292	0.953911594168774	0.0266921360656357	0.477252822409669	0.249606287578462	0.0583471741458212	0.791196935323853
cd_calprotectin	S13C	AGP transfer	2	102	96	Segatella sp.__Bacteroides dorei	1	9	0.0965906150723301	0.0021674252989782	0.720932317531637	0.00813698307113456	0.455671051983535	0.111267847960003	0.00895633980885505	0.547189748204914
cd_calprotectin	S13C	AGP transfer	3	100	94	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii	1	8	0.109571142758109	0.00242797590476252	0.844646673505877	0.0158664983749799	1	0.126424662200448	0.0106842983663288	0.635388930784655
cd_calprotectin	S13C	AGP transfer	4	97	94	Segatella sp.__Bacteroides dorei__Faecalibacterium prausnitzii__Agathobacter faecis	0	6	0	0	0.798556345293216	0.0130710767736038	0.941117527699474	0.0338315027160932	7.13789764093375e-05	0.466326540861168
